"filename", "language", "JSON with Comments", "TypeScript", "Markdown", "JSON", "JavaScript", "Svelte", "XML", "Ignore", "PostCSS", "HTML", "comment", "blank", "total"
"c:\Users\alifa\Documents\Kuliah\SKRIPSI\DEV\smart-office\src\routes\+page.server.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 10
"c:\Users\alifa\Documents\Kuliah\SKRIPSI\DEV\smart-office\src\routes\+page.svelte", "Svelte", 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 6, 53
"c:\Users\alifa\Documents\Kuliah\SKRIPSI\DEV\smart-office\src\routes\beranda\+layout.server.ts", "TypeScript", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 5, 4, 44
"c:\Users\alifa\Documents\Kuliah\SKRIPSI\DEV\smart-office\src\routes\beranda\+layout.svelte", "Svelte", 0, 0, 0, 0, 0, 63, 0, 0, 0, 0, 0, 11, 74
"c:\Users\alifa\Documents\Kuliah\SKRIPSI\DEV\smart-office\src\routes\beranda\+page.server.ts", "TypeScript", 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 4, 6, 53
"c:\Users\alifa\Documents\Kuliah\SKRIPSI\DEV\smart-office\src\routes\beranda\+page.svelte", "Svelte", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 3, 16
"c:\Users\alifa\Documents\Kuliah\SKRIPSI\DEV\smart-office\src\routes\beranda\Navbar.svelte", "Svelte", 0, 0, 0, 0, 0, 69, 0, 0, 0, 0, 0, 5, 74
"c:\Users\alifa\Documents\Kuliah\SKRIPSI\DEV\smart-office\src\routes\beranda\Notification.svelte", "Svelte", 0, 0, 0, 0, 0, 72, 0, 0, 0, 0, 2, 8, 82
"c:\Users\alifa\Documents\Kuliah\SKRIPSI\DEV\smart-office\src\routes\beranda\Profil.svelte", "Svelte", 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 2, 6, 52
"c:\Users\alifa\Documents\Kuliah\SKRIPSI\DEV\smart-office\src\routes\beranda\Ruang.svelte", "Svelte", 0, 0, 0, 0, 0, 101, 0, 0, 0, 0, 0, 10, 111
"c:\Users\alifa\Documents\Kuliah\SKRIPSI\DEV\smart-office\src\routes\beranda\Toaste.svelte", "Svelte", 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 2, 20
"c:\Users\alifa\Documents\Kuliah\SKRIPSI\DEV\smart-office\src\routes\beranda\activity\+page.server.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\alifa\Documents\Kuliah\SKRIPSI\DEV\smart-office\src\routes\beranda\activity\+page.svelte", "Svelte", 0, 0, 0, 0, 0, 81, 0, 0, 0, 0, 0, 3, 84
"c:\Users\alifa\Documents\Kuliah\SKRIPSI\DEV\smart-office\src\routes\beranda\live\+layout.svelte", "Svelte", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 3, 12
"c:\Users\alifa\Documents\Kuliah\SKRIPSI\DEV\smart-office\src\routes\beranda\live\+page.svelte", "Svelte", 0, 0, 0, 0, 0, 148, 0, 0, 0, 0, 0, 21, 169
"c:\Users\alifa\Documents\Kuliah\SKRIPSI\DEV\smart-office\src\routes\beranda\live\+page.ts", "TypeScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\alifa\Documents\Kuliah\SKRIPSI\DEV\smart-office\src\routes\beranda\live\CallBar.svelte", "Svelte", 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 6, 28
"c:\Users\alifa\Documents\Kuliah\SKRIPSI\DEV\smart-office\src\routes\beranda\live\VideoDisplay.svelte", "Svelte", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 3, 19
"c:\Users\alifa\Documents\Kuliah\SKRIPSI\DEV\smart-office\src\routes\beranda\message\+page.svelte", "Svelte", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 2, 6
"c:\Users\alifa\Documents\Kuliah\SKRIPSI\DEV\smart-office\src\routes\beranda\profil\+page.server.ts", "TypeScript", 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 9, 7, 61
"c:\Users\alifa\Documents\Kuliah\SKRIPSI\DEV\smart-office\src\routes\beranda\profil\+page.svelte", "Svelte", 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 4, 41
"c:\Users\alifa\Documents\Kuliah\SKRIPSI\DEV\smart-office\src\routes\beranda\profil\Profil.svelte", "Svelte", 0, 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 3, 62
"c:\Users\alifa\Documents\Kuliah\SKRIPSI\DEV\smart-office\src\routes\beranda\ruang\[slug]\+page.svelte", "Svelte", 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 6, 28
"c:\Users\alifa\Documents\Kuliah\SKRIPSI\DEV\smart-office\src\routes\beranda\ruang\[slug]\+page.ts", "TypeScript", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 8, 6, 43
"c:\Users\alifa\Documents\Kuliah\SKRIPSI\DEV\smart-office\src\routes\beranda\ruang\[slug]\[post]\+page.server.ts", "TypeScript", 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 40
"c:\Users\alifa\Documents\Kuliah\SKRIPSI\DEV\smart-office\src\routes\beranda\ruang\[slug]\[post]\+page.svelte", "Svelte", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 3, 16
"c:\Users\alifa\Documents\Kuliah\SKRIPSI\DEV\smart-office\src\routes\beranda\tulis\+page.svelte", "Svelte", 0, 0, 0, 0, 0, 491, 0, 0, 0, 0, 44, 44, 579
"c:\Users\alifa\Documents\Kuliah\SKRIPSI\DEV\smart-office\src\routes\beranda\tulis\+page.ts", "TypeScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\alifa\Documents\Kuliah\SKRIPSI\DEV\smart-office\src\routes\beranda\tulis\PopUp.svelte", "Svelte", 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 6, 53
"c:\Users\alifa\Documents\Kuliah\SKRIPSI\DEV\smart-office\src\routes\beranda\tulis\suggestion.ts", "TypeScript", 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 10, 10, 75
"c:\Users\alifa\Documents\Kuliah\SKRIPSI\DEV\smart-office\src\routes\daftar\+page.server.ts", "TypeScript", 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 62
"c:\Users\alifa\Documents\Kuliah\SKRIPSI\DEV\smart-office\src\routes\daftar\+page.svelte", "Svelte", 0, 0, 0, 0, 0, 93, 0, 0, 0, 0, 0, 3, 96
"c:\Users\alifa\Documents\Kuliah\SKRIPSI\DEV\smart-office\src\routes\login\+page.server.ts", "TypeScript", 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 53
"c:\Users\alifa\Documents\Kuliah\SKRIPSI\DEV\smart-office\src\routes\login\+page.svelte", "Svelte", 0, 0, 0, 0, 0, 75, 0, 0, 0, 0, 0, 4, 79
"c:\Users\alifa\Documents\Kuliah\SKRIPSI\DEV\smart-office\src\routes\sse\+page.svelte", "Svelte", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 3, 10
"c:\Users\alifa\Documents\Kuliah\SKRIPSI\DEV\smart-office\static\bell.svg", "XML", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
"c:\Users\alifa\Documents\Kuliah\SKRIPSI\DEV\smart-office\static\comment.svg", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 4
"c:\Users\alifa\Documents\Kuliah\SKRIPSI\DEV\smart-office\static\heart.svg", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 4
"c:\Users\alifa\Documents\Kuliah\SKRIPSI\DEV\smart-office\static\message.svg", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"c:\Users\alifa\Documents\Kuliah\SKRIPSI\DEV\smart-office\static\search.svg", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 4
"c:\Users\alifa\Documents\Kuliah\SKRIPSI\DEV\smart-office\static\send.svg", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 4
"c:\Users\alifa\Documents\Kuliah\SKRIPSI\DEV\smart-office\svelte.config.js", "JavaScript", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 6, 3, 19
"c:\Users\alifa\Documents\Kuliah\SKRIPSI\DEV\smart-office\tailwind.config.ts", "TypeScript", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 36
"c:\Users\alifa\Documents\Kuliah\SKRIPSI\DEV\smart-office\tests\test.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\alifa\Documents\Kuliah\SKRIPSI\DEV\smart-office\tsconfig.json", "JSON with Comments", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 18
"c:\Users\alifa\Documents\Kuliah\SKRIPSI\DEV\smart-office\vite.config.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 5, 2, 15
"Total", "-", 13, 746, 24, 6877, 46, 2927, 24, 11, 4, 12, 304, 487, 11475
